PostID,UserID,Content,Timestamp,Likes,Retweets,Hashtags,SentimentScore
101,7,This app keeps crashing. So annoying.,2026-05-29 07:37:47,47,38,"#bug,#cleanUI",-0.47
102,4,I’m impressed with the speed.,2026-05-31 17:37:47,14,1,"#bug,#tech,#AI",-0.37
103,1,Great performance on mobile.,2026-05-31 11:37:47,59,16,"#social,#UX",-0.76
104,10,Great performance on mobile.,2026-06-06 05:37:47,6,5,#fail,-0.38
105,3,Such a smooth interface!,2026-06-06 07:37:47,17,35,#UX,-0.28
106,8,Absolutely love the UX!,2026-06-03 16:37:47,125,8,"#AI,#mood,#cleanUI",-0.94
107,7,This app keeps crashing. So annoying.,2026-06-05 00:37:47,55,29,"#love,#tech",-0.51
108,4,Just another day...,2026-06-02 15:37:47,109,20,"#social,#AI",0.08
109,2,Absolutely love the UX!,2026-06-02 17:37:47,15,2,#UX,0.3
110,6,This app keeps crashing. So annoying.,2026-06-04 00:37:47,46,16,"#AI,#fail",-0.11
111,6,Such a smooth interface!,2026-06-01 16:37:47,145,28,"#cleanUI,#AI",-0.16
112,5,Can’t stop using it!,2026-06-05 04:37:47,34,46,#bug,-0.98
113,7,I’m impressed with the speed.,2026-05-30 22:37:47,115,2,#AI,-0.03
114,7,Such a smooth interface!,2026-05-28 05:37:47,112,14,"#bug,#mood",0.74
115,10,Loving the new update!,2026-05-29 14:37:47,95,17,"#cleanUI,#mood",-0.61
116,2,Can’t stop using it!,2026-06-05 14:37:47,32,16,"#AI,#design,#bug",-0.78
117,9,Loving the new update!,2026-05-28 09:37:47,124,22,"#UX,#social,#love",-0.65
118,4,Worst experience ever.,2026-05-31 22:37:47,18,15,#tech,0.44
119,7,Needs dark mode ASAP!,2026-06-05 14:37:47,120,18,"#bug,#AI,#mood",-0.93
120,10,Absolutely love the UX!,2026-06-03 03:37:47,94,42,#love,-0.89
121,2,Just another day...,2026-05-29 20:37:47,49,27,"#social,#tech",0.48
122,2,Great performance on mobile.,2026-06-03 15:37:47,88,17,"#AI,#UX,#bug",-0.72
123,6,This app keeps crashing. So annoying.,2026-06-05 07:37:47,109,33,"#bug,#mood",0.98
124,6,Great performance on mobile.,2026-05-27 16:37:47,21,16,"#tech,#fail,#cleanUI",0.59
125,9,Just another day...,2026-06-05 17:37:47,61,34,#social,-0.52
126,4,Worst experience ever.,2026-05-28 00:37:47,63,1,"#tech,#mood,#design",0.11
127,7,Needs dark mode ASAP!,2026-06-03 21:37:47,63,19,#tech,-0.21
128,9,Loving the new update!,2026-05-31 12:37:47,139,12,"#AI,#fail",-0.1
129,3,Just another day...,2026-06-02 23:37:47,52,0,"#UX,#AI",0.59
130,8,Great performance on mobile.,2026-06-01 11:37:47,146,41,"#mood,#bug,#love",-0.32
131,8,I’m impressed with the speed.,2026-05-31 19:37:47,98,21,"#design,#love",0.84
132,2,I’m impressed with the speed.,2026-06-02 14:37:47,67,1,"#design,#tech,#love",-0.84
133,8,This app keeps crashing. So annoying.,2026-06-02 10:37:47,43,48,"#design,#bug,#cleanUI",-0.12
134,1,Worst experience ever.,2026-06-02 07:37:47,122,43,#fail,0.29
135,9,Can’t stop using it!,2026-06-06 01:37:47,70,40,#UX,-0.85
136,1,This app keeps crashing. So annoying.,2026-06-02 11:37:47,99,7,"#social,#UX",0.32
137,9,Just another day...,2026-06-03 01:37:47,95,11,"#tech,#social",-0.65
138,9,Needs dark mode ASAP!,2026-05-31 22:37:47,51,17,"#love,#fail",-0.57
139,6,Such a smooth interface!,2026-06-02 06:37:47,67,18,"#tech,#UX,#cleanUI",0.14
140,10,Absolutely love the UX!,2026-06-03 05:37:47,2,24,#fail,0.86
